
Welcome to the Infinity.... 
<*)))))><
<*)))))><
<*)))))>< 
time="2022-04-02T09:28:43+08:00" level=info msg="version: 1.0.0"
time="2022-04-02T09:28:43+08:00" level=warning msg="clef is not enabled; portability and security of your keys is sub optimal"
time="2022-04-02T09:28:43+08:00" level=info msg="using existing infinity network address: 9eb567e884a6f45c682f790500981e5e23c476a3c9acc2951e79d5f80d78a254"
time="2022-04-02T09:28:43+08:00" level=info msg="infinity public key 024eef81fb32f7266985543131bcd29a5476a3880975896ddaa01451b88c6628d2"
time="2022-04-02T09:28:44+08:00" level=info msg="pss public key 0274247a996cde87f2d08a363c4e9d4e2ae056592c646fb453cb8f53582f9de46b"
time="2022-04-02T09:28:44+08:00" level=info msg="using infinity address 19aaaf867976329f29124b1b8cfe5acacc593aaa"
time="2022-04-02T09:28:44+08:00" level=info msg="debug api address: [::]:1635"
time="2022-04-02T09:28:45+08:00" level=info msg="using custom factory address: 18abf8b99c3af1448400bfbd45f24701fd39da31"
time="2022-04-02T09:28:46+08:00" level=info msg="using existing chequebook 91f8bcf09d7c7a282435a161f8298e62956cf767"

 register/update the node at the init 

time="2022-04-02T09:28:48+08:00" level=info msg="database capacity: 5000000 chunks (approximately 19.5GB)"
time="2022-04-02T09:28:48+08:00" level=info msg="name resolver: no name resolution service provided"
time="2022-04-02T09:28:48+08:00" level=info msg="api address: [::]:1633"
time="2022-04-02T09:28:49+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:28:49+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:29:19+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:29:19+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:29:50+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:29:50+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:30:21+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:30:21+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:30:51+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:30:51+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:31:22+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:31:22+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:31:53+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:31:53+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:32:23+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:32:23+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:32:54+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:32:54+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:33:24+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:33:24+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:33:54+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:33:54+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:34:24+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:34:24+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:34:54+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:34:54+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:35:25+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:35:25+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:35:55+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:35:55+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:36:25+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:36:25+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:36:56+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:36:56+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:37:26+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:37:26+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:37:56+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:37:56+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:38:26+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:38:26+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:38:56+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:38:56+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:39:26+08:00" level=warning msg="connect to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
time="2022-04-02T09:39:26+08:00" level=warning msg="discover to bootnode /ip4/18.216.66.9/tcp/1634/p2p/16Uiu2HAmExSHEV4FPxQMfgREDX6KX5BhyUb2aLQQTP5wgUyc7un9"
